Uniq Id,Crawl Timestamp,Product Url,Product Name,Description,List Price,Sale Price,Brand,Item Number,Gtin,Package Size,Category,Postal Code,Available
52c0169d81aed29d2a1ae1074f21e96e,2019-03-17 08:33:46 +0000,https://www.walmart.com/ip/Men-s-Big-Tall-Harbor-Bay-Space-Dye-Piqu-Polo-Shirt/377296247,Men's Big & Tall Harbor Bay Space-Dye Piqué Polo Shirt,The classic piqu&eacute; polo is updated with a cleaner fit and a hip space-dyed color technique. Try layering this cotton shirt under a sport coat with dark wash jeans for a put-together date night look.100% cotton piqu&eacute;Ribbed-knit collar2-button placketChest pocketShort sleeves; ribbed-knit armbandsTennistail hem Machine wash; imported|Men's Big &amp; Tall Harbor Bay Space-Dye Pocket Piqu&eacute; Polo Shirt,35,35,Harbor Bay,"",025416969147,clothing_size-7xl,Clothing|Big & Tall|Mens Big & Tall Polos,,TRUE
8e676286d677ec27bf925bba93b86c7c,2019-03-17 06:58:15 +0000,https://www.walmart.com/ip/True-HEPA-Large-Room-Air-Purifier-Room/432308626,True HEPA Large Room Air Purifier Room,"|We have always cared for our beauty and health care supplements. These products provide you health, wellness and natural beauty with every day. They are unique for its flavors, scen- SKU: ZX9SSN10306",230.54,230.54,HappyHealth,"",723902010112,"","Home Improvement|Heating, Cooling, & Air Quality|Air Quality|Air Purifiers",,TRUE
b00c9af437f8309c483bf0581cdc8270,2019-03-17 06:57:10 +0000,https://www.walmart.com/ip/Twin-Air-Air-Filter-Kit-Replacement-Pre-Oiled-Air-Filter-for-Can-Am-Outlander-6X6-650-XT-2015-2016/720043310,Twin Air Air Filter Kit Replacement Pre-Oiled Air Filter for Can-Am Outlander 6X6 650 XT 2015-2016,"The Twin Air Pre Oiled Air Filter has the same treatment that the factory race teams and OEM&iuml;&iquest;&frac12;s receive, the Twin Air Pre Oiled Air Filter is pre oiled with Biodegradable foam filter oil that provides ultimate consistency in pore coverage. The Twin Air Pre Oiled Air Filter is designed to catch all the dust and debris and allow efficient air flow giving your machine better performance. The Twin Air Pre Oiled Air Filter is pre-oiled for your convenience making it easier and fast to change out the filter and get back on your bike for more great days of riding.| Same factory treatment that Factory Race Teams and OEM’s receive is now available to all Twin Air customers. Pre-oiled with Twin Air BIO Foam Filter Oil using state of the art filter oiling machines, which provide ultimate consistency in pore coverage. Same industry leading Twin Air Filter that you are used to; pre-oiled for your convenience. Comes in new re-sealable bag for added convenience. Backfire resistant. ",44.49,44.49,Twin Air,"",804092706464,"","Home Improvement|Heating, Cooling, & Air Quality|Air Filters",,TRUE
e53396ca4105931765ef34ffa5e49deb,2019-03-17 08:15:20 +0000,https://www.walmart.com/ip/ProSphere-Boys-Daemen-College-Gameday-Pullover-Hoodie/743826146,ProSphere Boys' Daemen College Gameday Pullover Hoodie,Stretch Performance Fleece fabric Polyester 100% Engineered for premium comfort Movement flexibility while maintaining its shape Right-weight fabric for a flattering silhouette Brilliant color saturation Machine wash in cold water| Full sublimation product with 100% dye coverage Flattering athletic fit sits close to your body Premium composition with lined hoodie Non-bulky kangaroo pocket for small item storage Additional comfort with longer sleeves ,47.9,47.9,ProSphere,"",689186673132,clothing_size-xs,Clothing|Kids Clothing|Boys Clothing|Big Boys Clothing|Big Boys Tops & T-Shirts|Big Boys Sweatshirts & Hoodies,,TRUE
a12462fe65b02ec69f20c25a6ac49fa3,2019-03-17 08:15:20 +0000,https://www.walmart.com/ip/ProSphere-Boys-Daemen-College-Gameday-Pullover-Hoodie/743826146,ProSphere Boys' Daemen College Gameday Pullover Hoodie,Stretch Performance Fleece fabric Polyester 100% Engineered for premium comfort Movement flexibility while maintaining its shape Right-weight fabric for a flattering silhouette Brilliant color saturation Machine wash in cold water| Full sublimation product with 100% dye coverage Flattering athletic fit sits close to your body Premium composition with lined hoodie Non-bulky kangaroo pocket for small item storage Additional comfort with longer sleeves ,47.9,47.9,ProSphere,"",689186673118,clothing_size-m,Clothing|Kids Clothing|Boys Clothing|Big Boys Clothing|Big Boys Tops & T-Shirts|Big Boys Sweatshirts & Hoodies,,TRUE
8158c7b9f891155275e2b702642b4d6d,2019-03-17 08:15:20 +0000,https://www.walmart.com/ip/ProSphere-Boys-Daemen-College-Gameday-Pullover-Hoodie/743826146,ProSphere Boys' Daemen College Gameday Pullover Hoodie,Stretch Performance Fleece fabric Polyester 100% Engineered for premium comfort Movement flexibility while maintaining its shape Right-weight fabric for a flattering silhouette Brilliant color saturation Machine wash in cold water| Full sublimation product with 100% dye coverage Flattering athletic fit sits close to your body Premium composition with lined hoodie Non-bulky kangaroo pocket for small item storage Additional comfort with longer sleeves ,47.9,47.9,ProSphere,"",689186673125,clothing_size-s,Clothing|Kids Clothing|Boys Clothing|Big Boys Clothing|Big Boys Tops & T-Shirts|Big Boys Sweatshirts & Hoodies,,TRUE
862e0b93e8058f137d4e7ddef0764cf0,2019-03-17 08:15:20 +0000,https://www.walmart.com/ip/ProSphere-Boys-Daemen-College-Gameday-Pullover-Hoodie/743826146,ProSphere Boys' Daemen College Gameday Pullover Hoodie,Stretch Performance Fleece fabric Polyester 100% Engineered for premium comfort Movement flexibility while maintaining its shape Right-weight fabric for a flattering silhouette Brilliant color saturation Machine wash in cold water| Full sublimation product with 100% dye coverage Flattering athletic fit sits close to your body Premium composition with lined hoodie Non-bulky kangaroo pocket for small item storage Additional comfort with longer sleeves ,47.9,47.9,ProSphere,"",689186673101,clothing_size-l,Clothing|Kids Clothing|Boys Clothing|Big Boys Clothing|Big Boys Tops & T-Shirts|Big Boys Sweatshirts & Hoodies,,TRUE
dc690c63a522150ae6e760d646885f43,2019-03-17 07:57:43 +0000,https://www.walmart.com/ip/Antthony-City-Style-Textured-Cardigan-566-607/904588602,Antthony City Style Textured Cardigan 566-607,No Description Available|Bullet1,"","",Antthony,"",767223863552,"",Clothing|Women|Womens Sweaters,,FALSE
81fd4799b99fec8c3cf6c47e831b86ad,2019-03-17 07:57:43 +0000,https://www.walmart.com/ip/Antthony-City-Style-Textured-Cardigan-566-607/904588602,Antthony City Style Textured Cardigan 566-607,No Description Available|Bullet1,24.98,24.98,Antthony,"",767223898646,clothing_size-l,Clothing|Women|Womens Sweaters,,FALSE
74f0a8f3744020765800378238a0a4ae,2019-03-17 07:57:43 +0000,https://www.walmart.com/ip/Antthony-City-Style-Textured-Cardigan-566-607/904588602,Antthony City Style Textured Cardigan 566-607,No Description Available|Bullet1,24.98,24.98,Antthony,"",742309690499,clothing_size-2x,Clothing|Women|Womens Sweaters,,FALSE
